Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1785 Säffle;15276;15334;15366;15633;15727;15643;15455;15420;15396;15242;15011
1814 Lekeberg;7289;7363;7492;7636;7868;8116;8234;8472;8603;8756;8606
1860 Laxå;5580;5664;5656;5709;5643;5637;5683;5659;5582;5576;5497
1861 Hallsberg;15267;15315;15509;15649;15932;15954;15932;15990;16196;16290;16232
1862 Degerfors;9500;9531;9543;9609;9668;9665;9666;9631;9534;9530;9357
1863 Hällefors;6982;6936;7032;7138;7109;6983;7013;6896;6849;6656;6495
1864 Ljusnarsberg;4875;4913;4928;5006;4942;4846;4771;4674;4604;4517;4407
1880 Örebro;140599;142618;144200;146631;150291;153367;155696;156381;156987;158057;159348
1881 Kumla;20904;21016;21154;21334;21506;21640;21738;21862;22144;22479;22516
1882 Askersund;11096;11119;11151;11282;11175;11313;11377;11471;11534;11497;11478
1883 Karlskoga;29728;30054;30283;30538;30413;30419;30381;30263;30437;30278;30261
1884 Nora;10399;10352;10502;10665;10747;10737;10726;10686;10721;10701;10627
1885 Lindesberg;23176;23269;23562;23744;23613;23575;23588;23658;23601;23435;23292
1904 Skinnskatteberg;4411;4434;4472;4429;4431;4429;4393;4366;4371;4402;4348
1907 Surahammar;9834;9918;9985;10059;10037;10088;10106;10092;10099;10033;9934
1960 Kungsör;8175;8269;8343;8432;8603;8667;8675;8745;8787;8762;8643
1961 Hallstahammar;15524;15596;15645;15843;15998;16186;16346;16400;16608;16711;16654
1962 Norberg;5608;5719;5803;5795;5796;5795;5690;5729;5714;5627;5517
1980 Västerås;142131;143702;145218;147420;150134;152078;154049;155551;156838;158653;159662
1981 Sala;21769;21925;22109;22353;22631;22816;22894;22867;22998;22981;22853
1982 Fagersta;12872;13133;13286;13445;13415;13464;13391;13267;13319;13341;13222
1983 Köping;25237;25376;25557;25950;26116;26268;26214;26085;26133;26120;25978
1984 Arboga;13493;13631;13858;13903;13934;14138;14087;14039;14100;14083;14002
2021 Vansbro;6730;6694;6715;6884;6837;6807;6805;6801;6776;6800;6728
2023 Malung-Sälen;10061;9969;10036;10091;10114;10106;10138;10177;10218;10258;10260
2026 Gagnef;10023;10024;10079;10175;10241;10271;10304;10378;10502;10499;10430
2029 Leksand;15157;15252;15326;15507;15640;15804;15807;15801;16012;16113;16043
2031 Rättvik;10766;10748;10759;10856;10837;10907;10950;11047;11103;11092;11042
2034 Orsa;6849;6812;6750;6861;6887;6892;6911;6877;6918;6934;6908
2039 Älvdalen;7096;7052;7035;7039;7068;7121;7031;7033;7042;7018;6929
2061 Smedjebacken;10691;10712;10790;10909;10894;10897;10894;10854;10933;10922;10913
2062 Mora;19998;20006;20101;20279;20369;20390;20470;20492;20670;20679;20536
2080 Falun;56767;56896;57062;57685;58340;58923;59406;59528;59837;59818;59986
2081 Borlänge;50023;50715;50988;51604;51964;52224;52590;52394;52254;52178;51735
2082 Säter;10873;10886;11009;11086;11160;11123;11093;11161;11242;11271;11243
2083 Hedemora;15021;15085;15235;15461;15566;15457;15491;15462;15458;15443;15345
2084 Avesta;21582;22022;22781;23161;23256;23323;23178;23067;22925;22932;22753
2085 Ludvika;25712;26030;26362;26933;26992;26946;26898;26604;26497;26353;26402
2101 Ockelbo;5785;5765;5849;5856;5896;5906;5908;5884;5865;5821;5758
2104 Hofors;9511;9431;9435;9564;9660;9602;9588;9570;9578;9472;9374
2121 Ovanåker;11354;11432;11469;11631;11609;11684;11670;11672;11711;11622;11525
2132 Nordanstig;9491;9493;9490;9511;9481;9517;9477;9483;9480;9487;9370
2161 Ljusdal;18931;18949;19027;19067;19028;19033;18949;18867;18804;18771;18538
2180 Gävle;97236;98314;98877;99788;100603;101455;102418;102904;103136;103493;103532
2181 Sandviken;37250;37833;38314;38949;39259;39208;39234;39290;39250;39098;38628
2182 Söderhamn;25442;25456;25785;25992;25782;25721;25643;25492;25446;25258;24858
2183 Bollnäs;26141;26394;26594;26929;26918;26991;26888;26809;26753;26624;26414
2184 Hudiksvall;36829;36924;36975;37299;37401;37430;37607;37531;37744;37688;37645
2260 Ånge;9548;9484;9493;9495;9480;9411;9316;9226;9233;9143;9109
2262 Timrå;18062;18025;17987;17992;18030;18060;17979;17963;17923;17754;17540
